Data set,"Top 500 authors, by Scholarly Output"
Entity,"Australia"
Year range,2012 to 2021
Subject classification,"FOR"
Filtered by,"Built Environment And Design"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,22 June 2022
Date exported,4 July 2022

Name,Scholarly Output,Most recent publication,Citations,Citations per Publication,Field-Weighted Citation Impact,h-index,Scopus author ID,Scopus author profile
"Corcoran, Jonathan J.",41,2021,552,13.5,1.45,25.0,22933579900,https://www.scopus.com/authid/detail.url?authorId=22933579900
"Brown, Greg Gordon",41,2020,2884,70.3,3.79,49.0,55731138700,https://www.scopus.com/authid/detail.url?authorId=55731138700
"Santamouris, Mattheos",41,2021,1459,35.6,2.87,78.0,7006575535,https://www.scopus.com/authid/detail.url?authorId=7006575535
"Law, David William",40,2021,1120,28.0,1.79,27.0,49761603000,https://www.scopus.com/authid/detail.url?authorId=49761603000
"Arashpour, Mehrdad",40,2021,1722,43.1,4.00,24.0,55520813200,https://www.scopus.com/authid/detail.url?authorId=55520813200
"Ruming, Kristian James",40,2021,527,13.2,1.68,18.0,6507675948,https://www.scopus.com/authid/detail.url?authorId=6507675948
"Zhang, Guomin",39,2021,994,25.5,2.09,26.0,56170403700,https://www.scopus.com/authid/detail.url?authorId=56170403700
"Wood, Gavin A.",39,2021,377,9.7,0.93,16.0,7401951115,https://www.scopus.com/authid/detail.url?authorId=7401951115
"Gurran, Nicole",38,2021,799,21.0,2.82,21.0,16315593600,https://www.scopus.com/authid/detail.url?authorId=16315593600
"Pojani, Dorina",38,2021,565,14.9,1.36,21.0,28568070900,https://www.scopus.com/authid/detail.url?authorId=28568070900
"Manalo, Allan C.",38,2021,1052,27.7,2.03,35.0,35077204600,https://www.scopus.com/authid/detail.url?authorId=35077204600
"Wu, Yu Fei",38,2021,1044,27.5,2.22,52.0,57204035674,https://www.scopus.com/authid/detail.url?authorId=57204035674
"Elchalakani, Mohamed F.",38,2021,463,12.2,1.58,33.0,6602253561,https://www.scopus.com/authid/detail.url?authorId=6602253561
"Gibson, Chris",38,2021,734,19.3,1.90,40.0,7201824203,https://www.scopus.com/authid/detail.url?authorId=7201824203
"Ozbakkaloglu, Togay",38,2020,3165,83.3,4.24,54.0,9741842600,https://www.scopus.com/authid/detail.url?authorId=9741842600
"Newell, Graeme R.",37,2021,301,8.1,0.94,24.0,10045199100,https://www.scopus.com/authid/detail.url?authorId=10045199100
"Cobbinah, Patrick Brandful",37,2021,800,21.6,2.08,22.0,55823597600,https://www.scopus.com/authid/detail.url?authorId=55823597600
"Ong, Rachel",36,2021,369,10.3,1.10,16.0,18133832500,https://www.scopus.com/authid/detail.url?authorId=18133832500
"Badland, Hannah M.",36,2021,1248,34.7,2.50,40.0,8563324400,https://www.scopus.com/authid/detail.url?authorId=8563324400
"Salmon, Paul M.",34,2021,1173,34.5,3.33,51.0,12781670000,https://www.scopus.com/authid/detail.url?authorId=12781670000
"Ma, Zhenjun",34,2021,1590,46.8,2.14,40.0,22954433600,https://www.scopus.com/authid/detail.url?authorId=22954433600
"Wiesel, Ilan",34,2021,323,9.5,0.88,14.0,35085555100,https://www.scopus.com/authid/detail.url?authorId=35085555100
"Rogers, Dallas",34,2021,486,14.3,2.41,13.0,55245697400,https://www.scopus.com/authid/detail.url?authorId=55245697400
"Waitt, Gordon",34,2021,563,16.6,1.78,39.0,55882729600,https://www.scopus.com/authid/detail.url?authorId=55882729600
"Hammad, Ahmed WA",34,2021,470,13.8,1.96,15.0,56430620200,https://www.scopus.com/authid/detail.url?authorId=56430620200
"Waller, S. Travis",34,2021,447,13.1,1.31,35.0,56990283800,https://www.scopus.com/authid/detail.url?authorId=56990283800
"Zhang, Y. X.",34,2021,758,22.3,1.30,26.0,8715355000,https://www.scopus.com/authid/detail.url?authorId=8715355000
"Sunindijo, Riza Yosia",33,2021,518,15.7,1.42,18.0,21741351400,https://www.scopus.com/authid/detail.url?authorId=21741351400
"Sigler, Thomas J.",33,2021,494,15.0,1.61,15.0,55645748600,https://www.scopus.com/authid/detail.url?authorId=55645748600
"Pham, Thong M.",33,2021,978,29.6,2.34,29.0,57510374700,https://www.scopus.com/authid/detail.url?authorId=57510374700
"Freestone, Robert",33,2021,175,5.3,0.47,17.0,7003776355,https://www.scopus.com/authid/detail.url?authorId=7003776355
"Buys, Laurie R.",32,2021,703,22.0,1.81,27.0,14830280000,https://www.scopus.com/authid/detail.url?authorId=14830280000
"Mohammadinia, Alireza",32,2021,1098,34.3,2.15,21.0,55340881500,https://www.scopus.com/authid/detail.url?authorId=55340881500
"Horpibulsuk, S.",32,2021,1554,48.6,2.50,60.0,55923141300,https://www.scopus.com/authid/detail.url?authorId=55923141300
"Zou, Patrick X.W.",32,2020,1535,48.0,2.94,34.0,7006775603,https://www.scopus.com/authid/detail.url?authorId=7006775603
"Ma, Guowei",32,2021,1112,34.8,2.75,58.0,7202152174,https://www.scopus.com/authid/detail.url?authorId=7202152174
"Soebarto, V.",32,2021,618,19.3,2.09,21.0,7801674572,https://www.scopus.com/authid/detail.url?authorId=7801674572
"Legacy, Crystal",31,2021,456,14.7,1.89,14.0,36646267400,https://www.scopus.com/authid/detail.url?authorId=36646267400
"Lee, Chyi Lin",31,2021,430,13.9,2.00,16.0,56411159900,https://www.scopus.com/authid/detail.url?authorId=56411159900
"Kim, Jungsoo",31,2021,1734,55.9,3.21,20.0,57189969323,https://www.scopus.com/authid/detail.url?authorId=57189969323
"Zhou, Annan",31,2021,744,24.0,3.68,41.0,57205728497,https://www.scopus.com/authid/detail.url?authorId=57205728497
"Dovey, Kim",31,2021,736,23.7,2.07,24.0,6602832591,https://www.scopus.com/authid/detail.url?authorId=6602832591
"Reed, Richard G.",31,2020,254,8.2,0.63,15.0,7401921245,https://www.scopus.com/authid/detail.url?authorId=7401921245
"Byrne, Jason Antony",30,2021,3774,125.8,3.87,29.0,16300751800,https://www.scopus.com/authid/detail.url?authorId=16300751800
"Kalantari, Mohsen",30,2021,600,20.0,1.68,20.0,23481604200,https://www.scopus.com/authid/detail.url?authorId=23481604200
"Mavoa, Suzanne",30,2021,904,30.1,2.84,30.0,32167639400,https://www.scopus.com/authid/detail.url?authorId=32167639400
"Jing Yang, Rebecca",30,2021,1398,46.6,3.32,24.0,55917207400,https://www.scopus.com/authid/detail.url?authorId=55917207400
"Pawson, Hal",30,2021,332,11.1,1.60,16.0,56040129500,https://www.scopus.com/authid/detail.url?authorId=56040129500
"Phibbs, Peter J.",30,2021,512,17.1,1.94,12.0,7003460041,https://www.scopus.com/authid/detail.url?authorId=7003460041
"Wakefield, Ron",30,2021,788,26.3,2.26,21.0,7006151018,https://www.scopus.com/authid/detail.url?authorId=7006151018
"Sofi, Massoud",29,2021,464,16.0,0.80,13.0,15835788200,https://www.scopus.com/authid/detail.url?authorId=15835788200
"McManus, P.",29,2021,622,21.4,1.69,21.0,35618687600,https://www.scopus.com/authid/detail.url?authorId=35618687600
"Kamruzzaman, Md",29,2021,1332,45.9,4.58,34.0,36811326000,https://www.scopus.com/authid/detail.url?authorId=36811326000
"He, Baojie",29,2021,1645,56.7,5.55,36.0,55845317100,https://www.scopus.com/authid/detail.url?authorId=55845317100
"Mukherjee, Abhijit",29,2021,674,23.2,1.29,41.0,57222279890,https://www.scopus.com/authid/detail.url?authorId=57222279890
"Zhuge, Yan",29,2021,648,22.3,2.78,26.0,57241579900,https://www.scopus.com/authid/detail.url?authorId=57241579900
"Ronagh, Hamid",29,2021,592,20.4,1.99,32.0,6603554940,https://www.scopus.com/authid/detail.url?authorId=6603554940
"Gravina, Rebecca J.",28,2021,749,26.8,1.92,20.0,16047675200,https://www.scopus.com/authid/detail.url?authorId=16047675200
"Yu, Tao",28,2021,1073,38.3,1.76,40.0,55727825200,https://www.scopus.com/authid/detail.url?authorId=55727825200
"Liu, Yan",28,2021,532,19.0,1.71,27.0,56236258100,https://www.scopus.com/authid/detail.url?authorId=56236258100
"Foster, Sarah Alexandra",28,2021,961,34.3,2.64,31.0,57195446750,https://www.scopus.com/authid/detail.url?authorId=57195446750
"Wilkinson, Sara J.",28,2021,313,11.2,0.84,16.0,57236120000,https://www.scopus.com/authid/detail.url?authorId=57236120000
"Beer, Andrew",28,2021,720,25.7,3.89,22.0,7102778065,https://www.scopus.com/authid/detail.url?authorId=7102778065
"Guan, Hong",28,2021,474,16.9,1.99,32.0,7202612804,https://www.scopus.com/authid/detail.url?authorId=7202612804
"Langston, Craig A.",28,2021,567,20.3,1.34,23.0,8875377000,https://www.scopus.com/authid/detail.url?authorId=8875377000
"Dwyer, Tim",27,2021,722,26.7,2.71,31.0,13905632400,https://www.scopus.com/authid/detail.url?authorId=13905632400
"Walker, Derek Henry Thomas",27,2020,500,18.5,1.62,32.0,35585925400,https://www.scopus.com/authid/detail.url?authorId=35585925400
"Wang, Jun",27,2021,1277,47.3,3.06,26.0,55671780900,https://www.scopus.com/authid/detail.url?authorId=55671780900
"Perera, Srinath",27,2021,163,6.0,1.54,18.0,56308985600,https://www.scopus.com/authid/detail.url?authorId=56308985600
"Nazari, Ali H.",27,2021,1101,40.8,1.88,41.0,57208679063,https://www.scopus.com/authid/detail.url?authorId=57208679063
"Nikraz, Hamid Reza",27,2021,385,14.3,0.88,24.0,6603504669,https://www.scopus.com/authid/detail.url?authorId=6603504669
"Aye, Lu",27,2021,1010,37.4,2.22,27.0,6603952630,https://www.scopus.com/authid/detail.url?authorId=6603952630
"Pettit, Christopher James",27,2021,487,18.0,2.94,23.0,7003759636,https://www.scopus.com/authid/detail.url?authorId=7003759636
"Carmichael, David G.",27,2021,321,11.9,0.94,16.0,7102348050,https://www.scopus.com/authid/detail.url?authorId=7102348050
"Porter, Libby",26,2020,307,11.8,1.54,22.0,16686852800,https://www.scopus.com/authid/detail.url?authorId=16686852800
"Koohsari, Mohammad Javad",26,2021,855,32.9,2.60,26.0,23008947800,https://www.scopus.com/authid/detail.url?authorId=23008947800
"Jin, Xiaohua",26,2021,292,11.2,1.05,18.0,34770042400,https://www.scopus.com/authid/detail.url?authorId=34770042400
"Disfani, Mahdi Miri",26,2020,1674,64.4,2.78,29.0,37115245100,https://www.scopus.com/authid/detail.url?authorId=37115245100
