Data set,"Top 500 authors, by Scholarly Output"
Entity,"Australia"
Year range,2012 to 2021
Subject classification,"FOR"
Filtered by,"Built Environment And Design"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,22 June 2022
Date exported,4 July 2022

Name,Scholarly Output,Most recent publication,Citations,Citations per Publication,Field-Weighted Citation Impact,h-index,Scopus author ID,Scopus author profile
"Cabrera, Densil",20,2021,148,7.4,1.16,14.0,18036534200,https://www.scopus.com/authid/detail.url?authorId=18036534200
"Shooshtarian, Salman",20,2021,304,15.2,1.58,12.0,36603540800,https://www.scopus.com/authid/detail.url?authorId=36603540800
"Baker, Emma",20,2021,406,20.3,1.95,18.0,36899827700,https://www.scopus.com/authid/detail.url?authorId=36899827700
"Giustozzi, Filippo",20,2021,310,15.5,1.29,20.0,37107517700,https://www.scopus.com/authid/detail.url?authorId=37107517700
"Hooper, Paula L.",20,2021,511,25.6,2.23,21.0,43762009000,https://www.scopus.com/authid/detail.url?authorId=43762009000
"Baji, Hassan",20,2021,167,8.4,0.60,12.0,54419457300,https://www.scopus.com/authid/detail.url?authorId=54419457300
"Martin, Chris",20,2021,225,11.3,2.59,10.0,55483464800,https://www.scopus.com/authid/detail.url?authorId=55483464800
"Bolleter, Julian Alexander",20,2021,58,2.9,0.40,6.0,56372140000,https://www.scopus.com/authid/detail.url?authorId=56372140000
"Troy, Laurence",20,2021,178,8.9,1.62,8.0,56396805400,https://www.scopus.com/authid/detail.url?authorId=56396805400
"Feng, Xiaoqi",20,2021,215,10.8,1.77,27.0,57211144740,https://www.scopus.com/authid/detail.url?authorId=57211144740
"Dimovski, Bill",20,2020,84,4.2,0.46,10.0,6507815285,https://www.scopus.com/authid/detail.url?authorId=6507815285
"Morawska, Lidia",20,2021,901,45.1,5.34,96.0,7004773965,https://www.scopus.com/authid/detail.url?authorId=7004773965
"Veitch, Jenny",20,2021,399,20.0,2.42,31.0,7006534920,https://www.scopus.com/authid/detail.url?authorId=7006534920
"Le, Khoa",20,2021,224,11.2,0.94,21.0,7102134112,https://www.scopus.com/authid/detail.url?authorId=7102134112
"Kwok, Kenny",20,2021,606,30.3,2.11,38.0,7102194358,https://www.scopus.com/authid/detail.url?authorId=7102194358
"Tao, Zhong",20,2021,894,44.7,2.41,49.0,7201884465,https://www.scopus.com/authid/detail.url?authorId=7201884465
"Heywood, Christopher Andrew",20,2021,113,5.7,0.54,8.0,8453234200,https://www.scopus.com/authid/detail.url?authorId=8453234200
"Wong, Peter S.P.",20,2021,241,12.1,0.96,19.0,8843485600,https://www.scopus.com/authid/detail.url?authorId=8843485600
"Bentley, Rebecca J.",19,2021,416,21.9,2.02,30.0,13808093200,https://www.scopus.com/authid/detail.url?authorId=13808093200
"Maraseni, Tek Narayan",19,2021,278,14.6,1.71,31.0,15126996400,https://www.scopus.com/authid/detail.url?authorId=15126996400
"Doh, Jeung Hwan",19,2021,297,15.6,1.13,13.0,16023908400,https://www.scopus.com/authid/detail.url?authorId=16023908400
"Frieman, Catherine J.",19,2021,68,3.6,0.87,9.0,16645356600,https://www.scopus.com/authid/detail.url?authorId=16645356600
"Wright, Sarah L.",19,2021,757,39.8,3.84,18.0,18435555100,https://www.scopus.com/authid/detail.url?authorId=18435555100
"Obeng-Odoom, Franklin",19,2018,299,15.7,1.25,23.0,25628353400,https://www.scopus.com/authid/detail.url?authorId=25628353400
"Hyde, Richard A.",19,2021,92,4.8,1.07,8.0,26423636400,https://www.scopus.com/authid/detail.url?authorId=26423636400
"Xie, Tianyu",19,2021,764,40.2,2.89,20.0,35180714300,https://www.scopus.com/authid/detail.url?authorId=35180714300
"Baldwin, Claudia",19,2021,225,11.8,1.07,17.0,36090700500,https://www.scopus.com/authid/detail.url?authorId=36090700500
"Turner, Michelle",19,2021,260,13.7,0.76,15.0,36166001000,https://www.scopus.com/authid/detail.url?authorId=36166001000
"Gholampour, Aliakbar",19,2021,659,34.7,3.14,25.0,36197880900,https://www.scopus.com/authid/detail.url?authorId=36197880900
"Astell–burt, Thomas",19,2021,210,11.1,1.80,34.0,36924540400,https://www.scopus.com/authid/detail.url?authorId=36924540400
"Han, Sunsheng",19,2021,369,19.4,1.47,23.0,55236180800,https://www.scopus.com/authid/detail.url?authorId=55236180800
"Cooper, Paul",19,2021,1161,61.1,2.53,30.0,55603540500,https://www.scopus.com/authid/detail.url?authorId=55603540500
"White, Greg William",19,2021,154,8.1,0.67,11.0,55909685600,https://www.scopus.com/authid/detail.url?authorId=55909685600
"Shirowzhan, Sara",19,2021,329,17.3,2.35,18.0,55923557900,https://www.scopus.com/authid/detail.url?authorId=55923557900
"Edwards, Peter J.",19,2021,468,24.6,1.31,19.0,57071733400,https://www.scopus.com/authid/detail.url?authorId=57071733400
"Maalsen, Sophia",19,2021,310,16.3,3.38,14.0,57193780226,https://www.scopus.com/authid/detail.url?authorId=57193780226
"Tiwari, Piyush",19,2021,89,4.7,0.87,12.0,57203106324,https://www.scopus.com/authid/detail.url?authorId=57203106324
"Whitty, Stephen Jonathan",19,2021,332,17.5,1.38,13.0,57208699565,https://www.scopus.com/authid/detail.url?authorId=57208699565
"van Deventer, Jannie S.J.",19,2017,3063,161.2,4.63,85.0,6506059530,https://www.scopus.com/authid/detail.url?authorId=6506059530
"Blismas, Nick G.",19,2021,466,24.5,1.45,22.0,6508231170,https://www.scopus.com/authid/detail.url?authorId=6508231170
"Dhanasekar, Manicka",19,2020,434,22.8,1.38,29.0,6701648291,https://www.scopus.com/authid/detail.url?authorId=6701648291
"Pritchard, Bill",19,2021,397,20.9,1.65,20.0,7004019002,https://www.scopus.com/authid/detail.url?authorId=7004019002
"Head, Lesley",19,2020,515,27.1,2.54,35.0,7006298113,https://www.scopus.com/authid/detail.url?authorId=7006298113
"Owen, Neville",19,2021,694,36.5,2.65,111.0,7102307209,https://www.scopus.com/authid/detail.url?authorId=7102307209
"Curtis, Carey",19,2021,306,16.1,1.50,20.0,7202261574,https://www.scopus.com/authid/detail.url?authorId=7202261574
"Mateo-Babiano, Iderlina",19,2020,285,15.0,1.03,12.0,8891526500,https://www.scopus.com/authid/detail.url?authorId=8891526500
"Aibinu, Ajibade Ayodeji",18,2021,430,23.9,2.09,16.0,12344585500,https://www.scopus.com/authid/detail.url?authorId=12344585500
"Khalfan, Malik",18,2021,583,32.4,1.99,20.0,12752727300,https://www.scopus.com/authid/detail.url?authorId=12752727300
"Forsythe, Perry John",18,2021,217,12.1,1.02,14.0,14013564400,https://www.scopus.com/authid/detail.url?authorId=14013564400
"Whitzman, Carolyn C.",18,2020,220,12.2,0.81,14.0,23398940600,https://www.scopus.com/authid/detail.url?authorId=23398940600
"Iveson, Kurt",18,2021,687,38.2,2.59,18.0,26534544200,https://www.scopus.com/authid/detail.url?authorId=26534544200
"Fielding, Kelly S.",18,2021,515,28.6,2.07,40.0,35610939600,https://www.scopus.com/authid/detail.url?authorId=35610939600
"Li, Hong Xian",18,2021,201,11.2,1.52,16.0,36701739500,https://www.scopus.com/authid/detail.url?authorId=36701739500
"Hon, Carol K.H.",18,2021,237,13.2,1.33,18.0,36891019500,https://www.scopus.com/authid/detail.url?authorId=36891019500
"Warren-Myers, Georgia",18,2021,221,12.3,1.30,11.0,54986422500,https://www.scopus.com/authid/detail.url?authorId=54986422500
"Rajeev, P.",18,2021,466,25.9,2.73,23.0,55352710700,https://www.scopus.com/authid/detail.url?authorId=55352710700
"Chang, Ruidong",18,2021,260,14.4,1.63,20.0,55359185100,https://www.scopus.com/authid/detail.url?authorId=55359185100
"Kim, Taehwan",18,2021,228,12.7,1.71,16.0,55700729300,https://www.scopus.com/authid/detail.url?authorId=55700729300
"Cigdem, Melek",18,2021,112,6.2,0.61,7.0,55860542700,https://www.scopus.com/authid/detail.url?authorId=55860542700
"Williams, Kathryn J.H.",18,2021,831,46.2,2.27,24.0,56691900200,https://www.scopus.com/authid/detail.url?authorId=56691900200
"Sun, Junbo",18,2021,490,27.2,4.84,18.0,57202887091,https://www.scopus.com/authid/detail.url?authorId=57202887091
"Zhang, Rita Peihua",18,2021,225,12.5,1.73,13.0,57209802899,https://www.scopus.com/authid/detail.url?authorId=57209802899
"Li, Jie",18,2021,392,21.8,2.66,30.0,57221704142,https://www.scopus.com/authid/detail.url?authorId=57221704142
"Newnam, Sharon",18,2021,191,10.6,1.64,17.0,6507760593,https://www.scopus.com/authid/detail.url?authorId=6507760593
"Wadley, David Alastair",18,2021,108,6.0,1.90,13.0,6701420370,https://www.scopus.com/authid/detail.url?authorId=6701420370
"Mahendran, Mahen",18,2021,218,12.1,0.97,34.0,7005392074,https://www.scopus.com/authid/detail.url?authorId=7005392074
"Davy, John Laurence",18,2020,202,11.2,1.02,13.0,7101674593,https://www.scopus.com/authid/detail.url?authorId=7101674593
"Griffith, Michael C.",18,2021,580,32.2,6.24,32.0,7102075337,https://www.scopus.com/authid/detail.url?authorId=7102075337
"Pickering, Catherine",18,2020,1311,72.8,2.44,40.0,7102584068,https://www.scopus.com/authid/detail.url?authorId=7102584068
"Prasad, Deo",18,2021,711,39.5,4.67,19.0,7103271693,https://www.scopus.com/authid/detail.url?authorId=7103271693
"Robinson, Guy Martin",18,2021,241,13.4,1.17,22.0,7402255058,https://www.scopus.com/authid/detail.url?authorId=7402255058
"Mills, Julie Evelyn",18,2021,931,51.7,3.37,28.0,7402862494,https://www.scopus.com/authid/detail.url?authorId=7402862494
"Li, Jianchun",18,2021,383,21.3,1.36,32.0,7410077355,https://www.scopus.com/authid/detail.url?authorId=7410077355
"Cheshire, Lynda Anne",18,2021,281,15.6,1.59,20.0,8584186500,https://www.scopus.com/authid/detail.url?authorId=8584186500
"Brady, Sean P.",17,2015,19,1.1,0.14,3.0,12445369900,https://www.scopus.com/authid/detail.url?authorId=12445369900
"Miller, Fiona P.",17,2021,126,7.4,1.15,13.0,12767571300,https://www.scopus.com/authid/detail.url?authorId=12767571300
"Mills, Anthony John",17,2020,304,17.9,1.08,12.0,14831774900,https://www.scopus.com/authid/detail.url?authorId=14831774900
"Milligan, Vivienne",17,2019,199,11.7,1.11,11.0,15062972200,https://www.scopus.com/authid/detail.url?authorId=15062972200
"Stevens, Quentin",17,2021,138,8.1,0.90,15.0,15765957800,https://www.scopus.com/authid/detail.url?authorId=15765957800
"Suchet-Pearson, Sandie",17,2021,776,45.6,4.24,21.0,16314392500,https://www.scopus.com/authid/detail.url?authorId=16314392500
"Tucker, Richard",17,2021,199,11.7,1.08,10.0,21234473000,https://www.scopus.com/authid/detail.url?authorId=21234473000
"Bosman, Caryl",17,2021,130,7.6,0.66,10.0,23097372400,https://www.scopus.com/authid/detail.url?authorId=23097372400
"Kendal, Dave",17,2020,739,43.5,2.89,25.0,23995346200,https://www.scopus.com/authid/detail.url?authorId=23995346200
"Darchen, Sébastien",17,2020,153,9.0,0.74,9.0,24280583800,https://www.scopus.com/authid/detail.url?authorId=24280583800
"Roetzel, Astrid",17,2021,316,18.6,1.91,12.0,35316379500,https://www.scopus.com/authid/detail.url?authorId=35316379500
"Davidson, Kathryn",17,2021,232,13.6,1.62,17.0,36008251400,https://www.scopus.com/authid/detail.url?authorId=36008251400
"Youssf, Osama",17,2021,872,51.3,3.36,19.0,36919569700,https://www.scopus.com/authid/detail.url?authorId=36919569700
"Davison, Gethin Thomas",17,2020,146,8.6,0.71,8.0,39161348500,https://www.scopus.com/authid/detail.url?authorId=39161348500
"Pan, Zhu",17,2018,1636,96.2,2.87,22.0,55175200300,https://www.scopus.com/authid/detail.url?authorId=55175200300
"Jefferies, Marcus C.",17,2021,226,13.3,1.96,13.0,55218562900,https://www.scopus.com/authid/detail.url?authorId=55218562900
"Wilson, John L.",17,2021,575,33.8,1.86,29.0,55574189010,https://www.scopus.com/authid/detail.url?authorId=55574189010
"Hou, Lei",17,2021,880,51.8,3.56,17.0,55729885900,https://www.scopus.com/authid/detail.url?authorId=55729885900
"Dias-da-Costa, D.",17,2021,206,12.1,1.12,24.0,55932515200,https://www.scopus.com/authid/detail.url?authorId=55932515200
"Hu, Xin",17,2021,172,10.1,1.18,11.0,56469989300,https://www.scopus.com/authid/detail.url?authorId=56469989300
"Ahmed, Iftekhar",17,2021,180,10.6,0.41,10.0,57190251325,https://www.scopus.com/authid/detail.url?authorId=57190251325
"Wood, Lisa J.",17,2020,1002,58.9,3.31,31.0,57203046855,https://www.scopus.com/authid/detail.url?authorId=57203046855
"Phelps, Nicholas A.",17,2021,134,7.9,1.92,32.0,57203076068,https://www.scopus.com/authid/detail.url?authorId=57203076068
"Mojtahedi, Mohammad",17,2021,206,12.1,2.27,18.0,57211244906,https://www.scopus.com/authid/detail.url?authorId=57211244906
"Nejadi, Shami",17,2021,414,24.4,1.60,19.0,6506472470,https://www.scopus.com/authid/detail.url?authorId=6506472470
"Patnaikuni, Indubhushan",17,2021,759,44.6,2.77,20.0,6507339983,https://www.scopus.com/authid/detail.url?authorId=6507339983
"Bardsley, Douglas K.",17,2021,273,16.1,1.49,18.0,6603978000,https://www.scopus.com/authid/detail.url?authorId=6603978000
"Hassan, R.",17,2021,118,6.9,0.46,10.0,7102127912,https://www.scopus.com/authid/detail.url?authorId=7102127912
"Jacobs, Keith",17,2020,261,15.4,1.54,19.0,7202908017,https://www.scopus.com/authid/detail.url?authorId=7202908017
"Gilbert, Raymond Ian",17,2021,356,20.9,1.09,24.0,7401932259,https://www.scopus.com/authid/detail.url?authorId=7401932259
"Crawford, Robert H.",17,2020,692,40.7,2.96,31.0,7402584406,https://www.scopus.com/authid/detail.url?authorId=7402584406
"Stewart, Rodney Anthony",17,2021,332,19.5,1.74,46.0,7402716998,https://www.scopus.com/authid/detail.url?authorId=7402716998
"Moore, Gregory M.",17,2021,127,7.5,0.40,11.0,7403283507,https://www.scopus.com/authid/detail.url?authorId=7403283507
"Smith, Scott T.",17,2018,458,26.9,1.19,34.0,8751691000,https://www.scopus.com/authid/detail.url?authorId=8751691000
"Pradhan, Biswajeet K.",16,2021,148,9.3,1.34,97.0,12753037900,https://www.scopus.com/authid/detail.url?authorId=12753037900
"Brewer, Graham John",16,2020,269,16.8,1.83,14.0,14826559900,https://www.scopus.com/authid/detail.url?authorId=14826559900
"Heidarpour, Amin",16,2021,423,26.4,1.77,26.0,23481778900,https://www.scopus.com/authid/detail.url?authorId=23481778900
"Swapan, Mohammad Shahidul Hasan",16,2021,131,8.2,0.69,9.0,36681771800,https://www.scopus.com/authid/detail.url?authorId=36681771800
"Lin, Brenda B.",16,2021,486,30.4,3.40,27.0,36729191600,https://www.scopus.com/authid/detail.url?authorId=36729191600
"Miller, Wendy",16,2021,203,12.7,1.13,13.0,37056087400,https://www.scopus.com/authid/detail.url?authorId=37056087400
"Ahn, Seungjun",16,2021,268,16.8,2.06,12.0,55276780900,https://www.scopus.com/authid/detail.url?authorId=55276780900
"Robert, Dilan J.",16,2021,136,8.5,0.80,14.0,55848941400,https://www.scopus.com/authid/detail.url?authorId=55848941400
"Cushing, Debra Flanders",16,2021,107,6.7,0.71,6.0,55884939100,https://www.scopus.com/authid/detail.url?authorId=55884939100
"Van Den Nouwelant, Ryan",16,2021,141,8.8,1.76,8.0,56040087800,https://www.scopus.com/authid/detail.url?authorId=56040087800
"Nguyen, Kate T.Q.",16,2021,277,17.3,2.20,16.0,56095129700,https://www.scopus.com/authid/detail.url?authorId=56095129700
"Dodson, Jago",16,2021,173,10.8,1.22,15.0,56235056700,https://www.scopus.com/authid/detail.url?authorId=56235056700
"Moon, Sungkon",16,2021,323,20.2,2.35,13.0,56336217100,https://www.scopus.com/authid/detail.url?authorId=56336217100
"Yan, Yihuan",16,2020,355,22.2,1.56,14.0,56500990900,https://www.scopus.com/authid/detail.url?authorId=56500990900
"Flanagan, Kathleen",16,2021,104,6.5,1.42,7.0,56694170300,https://www.scopus.com/authid/detail.url?authorId=56694170300
"Saha, Ashish Kumer",16,2021,483,30.2,2.50,15.0,57190165283,https://www.scopus.com/authid/detail.url?authorId=57190165283
"Amin, Ali",16,2021,279,17.4,1.21,13.0,57191439266,https://www.scopus.com/authid/detail.url?authorId=57191439266
"Davison, Aidan",16,2021,445,27.8,2.69,21.0,57197118433,https://www.scopus.com/authid/detail.url?authorId=57197118433
"Zhang, Fan",16,2021,318,19.9,2.05,13.0,57202351731,https://www.scopus.com/authid/detail.url?authorId=57202351731
"Khan, Mohammad S.",16,2021,478,29.9,1.74,14.0,57216281188,https://www.scopus.com/authid/detail.url?authorId=57216281188
"Liu, Henry",16,2021,352,22.0,1.46,15.0,57314283300,https://www.scopus.com/authid/detail.url?authorId=57314283300
"Garcia-Hansen, Veronica R.",16,2021,344,21.5,1.88,12.0,6506376990,https://www.scopus.com/authid/detail.url?authorId=6506376990
"Minnery, John R.",16,2020,156,9.8,0.63,12.0,6602351680,https://www.scopus.com/authid/detail.url?authorId=6602351680
"Kayali, Obada",16,2017,823,51.4,3.43,25.0,6603788637,https://www.scopus.com/authid/detail.url?authorId=6603788637
"Provis, John Lloyd",16,2014,3042,190.1,5.41,87.0,7004740665,https://www.scopus.com/authid/detail.url?authorId=7004740665
"Marriott, Kim",16,2021,531,33.2,2.78,33.0,7005317835,https://www.scopus.com/authid/detail.url?authorId=7005317835
"Raven, R. P.J.M.",16,2021,857,53.6,7.05,44.0,7006534473,https://www.scopus.com/authid/detail.url?authorId=7006534473
"Newton, Peter W.",16,2021,399,24.9,1.80,18.0,7103312941,https://www.scopus.com/authid/detail.url?authorId=7103312941
"Griffin, Mark A.",16,2020,410,25.6,2.72,37.0,7403310336,https://www.scopus.com/authid/detail.url?authorId=7403310336
"Baker, Douglas C.",16,2021,154,9.6,0.79,18.0,7404138757,https://www.scopus.com/authid/detail.url?authorId=7404138757
"Rae, Andrew John",16,2021,212,13.3,1.69,12.0,8387719400,https://www.scopus.com/authid/detail.url?authorId=8387719400
"Ciancio, Daniela",15,2018,551,36.7,1.64,14.0,13003903400,https://www.scopus.com/authid/detail.url?authorId=13003903400
"Cerin, Ester",15,2021,469,31.3,3.00,71.0,14522064200,https://www.scopus.com/authid/detail.url?authorId=14522064200
"Maqsood, Tayyab",15,2021,609,40.6,2.16,13.0,15751244600,https://www.scopus.com/authid/detail.url?authorId=15751244600
"Kumar Doloi, Hemanta",15,2021,908,60.5,2.22,21.0,22937452200,https://www.scopus.com/authid/detail.url?authorId=22937452200
"Kokogiannakis, Georgios",15,2021,412,27.5,1.74,23.0,23019359400,https://www.scopus.com/authid/detail.url?authorId=23019359400
"Sharafi, Pezhman",15,2021,335,22.3,3.70,20.0,23973581300,https://www.scopus.com/authid/detail.url?authorId=23973581300
"Rashidi, Taha",15,2021,238,15.9,2.83,21.0,24076709600,https://www.scopus.com/authid/detail.url?authorId=24076709600
"Ke, Yongjian",15,2021,325,21.7,1.88,20.0,26021857400,https://www.scopus.com/authid/detail.url?authorId=26021857400
"Chih, Yingyi",15,2020,353,23.5,1.66,12.0,26530844100,https://www.scopus.com/authid/detail.url?authorId=26530844100
"Shiwakoti, Nirajan",15,2021,373,24.9,2.30,25.0,35489053500,https://www.scopus.com/authid/detail.url?authorId=35489053500
"Houston, Donna",15,2021,256,17.1,2.08,14.0,35969401000,https://www.scopus.com/authid/detail.url?authorId=35969401000
"Levin, Iris",15,2021,107,7.1,1.10,7.0,36100256500,https://www.scopus.com/authid/detail.url?authorId=36100256500
"van der Heijden, Jeroen",15,2020,203,13.5,2.10,19.0,42462522500,https://www.scopus.com/authid/detail.url?authorId=42462522500
"Goode, Natassia",15,2021,304,20.3,1.63,20.0,54391049900,https://www.scopus.com/authid/detail.url?authorId=54391049900
"Hu, Richard",15,2021,113,7.5,0.61,9.0,55195490500,https://www.scopus.com/authid/detail.url?authorId=55195490500
"Matthews, Tony",15,2021,383,25.5,1.52,9.0,55445022100,https://www.scopus.com/authid/detail.url?authorId=55445022100
"Nethercote, Megan",15,2021,146,9.7,1.38,7.0,55636924700,https://www.scopus.com/authid/detail.url?authorId=55636924700
"Mohseni, Ehsan",15,2020,539,35.9,3.21,19.0,55668282100,https://www.scopus.com/authid/detail.url?authorId=55668282100
"Daniel, Lyrian",15,2021,189,12.6,2.43,11.0,55907170900,https://www.scopus.com/authid/detail.url?authorId=55907170900
"James, Amity",15,2021,90,6.0,1.64,8.0,56129373400,https://www.scopus.com/authid/detail.url?authorId=56129373400
"Hassanli, Reza",15,2021,541,36.1,2.78,15.0,56743319900,https://www.scopus.com/authid/detail.url?authorId=56743319900
"Sandanayake, Malindu",15,2021,367,24.5,2.65,15.0,57189515636,https://www.scopus.com/authid/detail.url?authorId=57189515636
"Marzuki, Jufri",15,2021,91,6.1,0.99,6.0,57190858738,https://www.scopus.com/authid/detail.url?authorId=57190858738
"Bush, Judy",15,2021,217,14.5,3.03,9.0,57201793216,https://www.scopus.com/authid/detail.url?authorId=57201793216
"Smith, Jim M.",15,2019,617,41.1,2.94,27.0,57203122723,https://www.scopus.com/authid/detail.url?authorId=57203122723
"Power, Emma R.",15,2021,318,21.2,4.53,17.0,57210220077,https://www.scopus.com/authid/detail.url?authorId=57210220077
"Arthurson, Kathy D.",15,2021,168,11.2,0.65,17.0,6507357750,https://www.scopus.com/authid/detail.url?authorId=6507357750
"Lahiri-Dutt, Kuntala",15,2021,135,9.0,0.78,19.0,6603146697,https://www.scopus.com/authid/detail.url?authorId=6603146697
"Sagoe-Crentsil, Kwesi K.",15,2021,250,16.7,1.14,23.0,6603521564,https://www.scopus.com/authid/detail.url?authorId=6603521564
"Timperio, Anna",15,2021,392,26.1,2.47,66.0,6603831099,https://www.scopus.com/authid/detail.url?authorId=6603831099
"Flatau, Paul R.",15,2020,66,4.4,0.64,10.0,7003468745,https://www.scopus.com/authid/detail.url?authorId=7003468745
"McGregor, Andrew",15,2021,227,15.1,1.78,18.0,7102812152,https://www.scopus.com/authid/detail.url?authorId=7102812152
"Mohamed, Sherif",15,2021,175,11.7,0.90,30.0,7102845249,https://www.scopus.com/authid/detail.url?authorId=7102845249
"Webber, Michael J.",15,2021,343,22.9,2.44,27.0,7103355898,https://www.scopus.com/authid/detail.url?authorId=7103355898
"Kirkpatrick, Jamie Barrie",15,2019,382,25.5,1.62,28.0,7203081724,https://www.scopus.com/authid/detail.url?authorId=7203081724
"Jay Yang, Jay",15,2017,358,23.9,1.04,19.0,8571687300,https://www.scopus.com/authid/detail.url?authorId=8571687300
"Coenen, Lars",14,2021,544,38.9,5.74,36.0,10540364400,https://www.scopus.com/authid/detail.url?authorId=10540364400
"Maller, Cecily Jane",14,2021,368,26.3,2.02,20.0,12647042900,https://www.scopus.com/authid/detail.url?authorId=12647042900
"Amati, Marco",14,2021,263,18.8,1.37,17.0,13002777700,https://www.scopus.com/authid/detail.url?authorId=13002777700
"Barbhuiya, Salim Ahmed",14,2019,631,45.1,1.64,20.0,14022256100,https://www.scopus.com/authid/detail.url?authorId=14022256100
"Lloyd, Kate",14,2021,711,50.8,4.51,22.0,15757836900,https://www.scopus.com/authid/detail.url?authorId=15757836900
"Zlatanova, Sisi",14,2021,193,13.8,1.99,29.0,15830792100,https://www.scopus.com/authid/detail.url?authorId=15830792100
"Sutrisna, Monty",14,2020,197,14.1,1.46,13.0,16022965700,https://www.scopus.com/authid/detail.url?authorId=16022965700
"Inthavong, Kiao",14,2021,255,18.2,1.22,29.0,22957649100,https://www.scopus.com/authid/detail.url?authorId=22957649100
"Baroudi, Bassam",14,2021,190,13.6,1.70,8.0,23484605400,https://www.scopus.com/authid/detail.url?authorId=23484605400
"Gleeson, Brendan",14,2020,157,11.2,1.34,24.0,25026200700,https://www.scopus.com/authid/detail.url?authorId=25026200700
"Piratheepan, Jegatheesan",14,2018,749,53.5,1.97,19.0,25631068100,https://www.scopus.com/authid/detail.url?authorId=25631068100
"Acuto, Michele",14,2021,185,13.2,2.95,25.0,26021005000,https://www.scopus.com/authid/detail.url?authorId=26021005000
"Phillips, Catherine",14,2021,296,21.1,2.50,11.0,29867590400,https://www.scopus.com/authid/detail.url?authorId=29867590400
"Crews, K.",14,2021,306,21.9,0.81,18.0,36661910300,https://www.scopus.com/authid/detail.url?authorId=36661910300
"Shi, Long",14,2021,353,25.2,1.92,26.0,36985806000,https://www.scopus.com/authid/detail.url?authorId=36985806000
"Banihashemi, Saeed",14,2021,455,32.5,2.90,16.0,54790845400,https://www.scopus.com/authid/detail.url?authorId=54790845400
"Lee, Ju Hyun",14,2021,84,6.0,1.06,7.0,55312411100,https://www.scopus.com/authid/detail.url?authorId=55312411100
"Hurley, Joe",14,2021,124,8.9,1.38,8.0,55636875900,https://www.scopus.com/authid/detail.url?authorId=55636875900
"Ho, Johnny Ching Ming O.",14,2019,257,18.4,1.16,30.0,55805351400,https://www.scopus.com/authid/detail.url?authorId=55805351400
"London, Kerry Anne",14,2021,181,12.9,1.48,13.0,55900158700,https://www.scopus.com/authid/detail.url?authorId=55900158700
"Osborne, Natalie",14,2021,139,9.9,0.97,8.0,56599952900,https://www.scopus.com/authid/detail.url?authorId=56599952900
"Ramakrishnan, Sayanthan",14,2021,308,22.0,3.62,18.0,56789555400,https://www.scopus.com/authid/detail.url?authorId=56789555400
"Wang, Cynthia Changxin",14,2021,148,10.6,1.74,15.0,57194027095,https://www.scopus.com/authid/detail.url?authorId=57194027095
"Dong, Minhao",14,2021,203,14.5,1.94,11.0,57194422778,https://www.scopus.com/authid/detail.url?authorId=57194422778
"Qi, Chongchong",14,2021,642,45.9,3.67,36.0,57195242814,https://www.scopus.com/authid/detail.url?authorId=57195242814
"Dedekorkut-Howes, Aysin",14,2021,343,24.5,2.13,11.0,57214680173,https://www.scopus.com/authid/detail.url?authorId=57214680173
"Sher, William D.",14,2021,389,27.8,2.42,12.0,6602345805,https://www.scopus.com/authid/detail.url?authorId=6602345805
"Pink, Sarah",14,2020,238,17.0,2.17,39.0,7003587141,https://www.scopus.com/authid/detail.url?authorId=7003587141
"Hillier, Jean",14,2021,175,12.5,1.47,22.0,7005399857,https://www.scopus.com/authid/detail.url?authorId=7005399857
"Knuiman, Matthew William",14,2020,708,50.6,2.55,69.0,7005404334,https://www.scopus.com/authid/detail.url?authorId=7005404334
"Gibbs, Leah M.",14,2021,181,12.9,1.54,13.0,7006203113,https://www.scopus.com/authid/detail.url?authorId=7006203113
"Pullen, Stephen F.",14,2020,429,30.6,1.76,16.0,7006240836,https://www.scopus.com/authid/detail.url?authorId=7006240836
"Reynolds, Margaret",14,2021,111,7.9,1.35,8.0,7202326828,https://www.scopus.com/authid/detail.url?authorId=7202326828
"Forrest, James",14,2021,175,12.5,1.70,27.0,7202841736,https://www.scopus.com/authid/detail.url?authorId=7202841736
"Pan, Jie",14,2019,198,14.1,1.34,37.0,7404099018,https://www.scopus.com/authid/detail.url?authorId=7404099018
"Zwikael, Ofer",13,2021,536,41.2,4.30,22.0,13007048400,https://www.scopus.com/authid/detail.url?authorId=13007048400
"Farbotko, Carol",13,2021,190,14.6,1.63,18.0,14017584600,https://www.scopus.com/authid/detail.url?authorId=14017584600
"Beilin, Ruth I.",13,2021,378,29.1,3.05,18.0,16038676500,https://www.scopus.com/authid/detail.url?authorId=16038676500
"Villanueva, Karen P.",13,2018,680,52.3,3.04,22.0,20436839800,https://www.scopus.com/authid/detail.url?authorId=20436839800
"Haynes, Katharine",13,2020,402,30.9,1.91,23.0,23024848600,https://www.scopus.com/authid/detail.url?authorId=23024848600
"McNamara, Karen E.",13,2021,252,19.4,2.06,28.0,23493114000,https://www.scopus.com/authid/detail.url?authorId=23493114000
"Holdsworth, Sarah",13,2021,86,6.6,0.75,11.0,24075804700,https://www.scopus.com/authid/detail.url?authorId=24075804700
"Duarte Alonso, Abel",13,2019,95,7.3,0.43,22.0,24922853000,https://www.scopus.com/authid/detail.url?authorId=24922853000
